gene_id	length_bp	merged_exon_intervals	chromosomes
ENSMUSG00000097557	5165	6	chr19
ENSMUSG00000097558	4741	4	chr19
ENSMUSG00000097559	3832	2	chr5
ENSMUSG00000097561	3237	2	chr5
ENSMUSG00000097562	1450	3	chr13
ENSMUSG00000097563	1924	2	chr6
ENSMUSG00000097564	4635	5	chr1
ENSMUSG00000097565	1520	6	chr13
ENSMUSG00000097569	3808	4	chr6
ENSMUSG00000097571	15238	16	chrX
ENSMUSG00000097572	4445	9	chr9
ENSMUSG00000097573	2318	1	chr1
ENSMUSG00000097574	281	3	chr9
ENSMUSG00000097575	3548	10	chr12
ENSMUSG00000097576	1719	3	chr16
ENSMUSG00000097577	2915	3	chr14
ENSMUSG00000097580	4607	6	chr12
ENSMUSG00000097583	5244	4	chr3
ENSMUSG00000097584	1616	3	chr3
ENSMUSG00000097585	17407	29	chr7
ENSMUSG00000097586	283	1	chr10
ENSMUSG00000097587	8644	6	chr15
ENSMUSG00000097589	22857	27	chr14
ENSMUSG00000097591	1919	3	chr19
ENSMUSG00000097592	7042	14	chr9
ENSMUSG00000097593	2226	3	chr18
ENSMUSG00000097594	1192	1	chr14
ENSMUSG00000097595	3525	12	chr7
ENSMUSG00000097596	3377	2	chr6
ENSMUSG00000097597	1446	2	chr10
ENSMUSG00000097602	1637	1	chr2
ENSMUSG00000097604	2169	2	chr9
ENSMUSG00000097608	984	1	chr1
ENSMUSG00000097610	2603	6	chr18
ENSMUSG00000097612	948	1	chr1
ENSMUSG00000097613	2990	6	chr15
ENSMUSG00000097615	3132	5	chr1
ENSMUSG00000097616	8024	26	chr6
ENSMUSG00000097617	6978	7	chr9
ENSMUSG00000097620	2116	2	chr4
ENSMUSG00000097621	10153	24	chr16
ENSMUSG00000097623	6897	11	chr9
ENSMUSG00000097624	3288	10	chr17
ENSMUSG00000097626	6398	14	chr5
ENSMUSG00000097627	2046	3	chr12
ENSMUSG00000097628	807	1	chr1
ENSMUSG00000097630	172	1	chr6
ENSMUSG00000097633	675	3	chr14
ENSMUSG00000097634	148	2	chr7
ENSMUSG00000097635	2360	2	chr6
ENSMUSG00000097636	12969	18	chr19
ENSMUSG00000097637	2383	4	chr8
ENSMUSG00000097638	2574	1	chr2
ENSMUSG00000097639	19943	33	chr3
ENSMUSG00000097640	9742	24	chr5
ENSMUSG00000097641	3289	2	chr18
ENSMUSG00000097642	802	1	chr1
ENSMUSG00000097643	3339	6	chr15
ENSMUSG00000097644	6039	13	chr7
ENSMUSG00000097646	156	1	chr19
ENSMUSG00000097648	2064	9	chr1
ENSMUSG00000097649	2762	5	chr1
ENSMUSG00000097650	2710	2	chr12
ENSMUSG00000097651	3410	13	chr9
ENSMUSG00000097652	7706	13	chr14
ENSMUSG00000097653	2632	2	chr7
ENSMUSG00000097654	3066	4	chr8
ENSMUSG00000097655	627	4	chr9
ENSMUSG00000097656	217	1	chr6
ENSMUSG00000097657	2884	1	chr8
ENSMUSG00000097662	5703	7	chr15
ENSMUSG00000097665	3598	6	chr9
ENSMUSG00000097666	2757	4	chr18
ENSMUSG00000097668	2723	3	chr5
ENSMUSG00000097669	233	1	chr6
ENSMUSG00000097670	867	1	chr1
ENSMUSG00000097671	795	3	chr6
ENSMUSG00000097673	7189	18	chr5
ENSMUSG00000097675	3464	8	chr6
ENSMUSG00000097676	1173	2	chr17
ENSMUSG00000097677	3177	8	chr9
ENSMUSG00000097679	403	1	chr15
ENSMUSG00000097680	2782	3	chr1
ENSMUSG00000097682	3549	13	chr7
ENSMUSG00000097683	8179	16	chr19
ENSMUSG00000097684	1316	1	chr13
ENSMUSG00000097685	1747	4	chr7
ENSMUSG00000097686	1255	2	chr5
ENSMUSG00000097689	2703	3	chr10
ENSMUSG00000097690	1261	4	chr19
ENSMUSG00000097691	1275	3	chr10
ENSMUSG00000097692	1889	1	chr10
ENSMUSG00000097693	927	2	chr6
ENSMUSG00000097694	2872	7	chr16
ENSMUSG00000097697	2320	7	chr7
ENSMUSG00000097699	5435	12	chr7
ENSMUSG00000097700	601	1	chr6
ENSMUSG00000097701	721	2	chr9
ENSMUSG00000097702	427	2	chr8
ENSMUSG00000097705	10166	19	chr10
ENSMUSG00000097706	2842	6	chr8
ENSMUSG00000097709	14712	10	chr13
ENSMUSG00000097710	3773	6	chr18
ENSMUSG00000097711	997	1	chr1
ENSMUSG00000097712	2301	4	chr18
ENSMUSG00000097713	989	1	chr3
ENSMUSG00000097714	1371	2	chr17
ENSMUSG00000097715	1159	7	chr13
ENSMUSG00000097716	1022	2	chr6
ENSMUSG00000097717	1431	3	chr13
ENSMUSG00000097719	377	1	chr19
ENSMUSG00000097724	3211	2	chr3
ENSMUSG00000097725	6404	23	chr3
ENSMUSG00000097726	6996	25	chr5
ENSMUSG00000097727	13667	27	chr17
ENSMUSG00000097729	6564	9	chr12
ENSMUSG00000097730	4706	6	chr6
ENSMUSG00000097735	1389	6	chr19
ENSMUSG00000097736	13580	21	chr9
ENSMUSG00000097738	3440	6	chr18
ENSMUSG00000097739	746	2	chr10
ENSMUSG00000097740	3948	12	chr19
ENSMUSG00000097742	6934	14	chr10
ENSMUSG00000097743	2509	4	chr14
ENSMUSG00000097744	3425	6	chr1
ENSMUSG00000097745	2202	6	chr3
ENSMUSG00000097746	7740	2	chr18
ENSMUSG00000097748	2170	4	chr18
ENSMUSG00000097749	3843	5	chr7
ENSMUSG00000097750	4452	2	chr7
ENSMUSG00000097752	1568	3	chr13
ENSMUSG00000097754	3092	6	chr1
ENSMUSG00000097755	3784	5	chr18
ENSMUSG00000097756	4636	5	chr7
ENSMUSG00000097760	5032	11	chr1
ENSMUSG00000097761	3032	3	chr3
ENSMUSG00000097762	6012	5	chr12
ENSMUSG00000097763	1682	7	chr6
ENSMUSG00000097766	3726	9	chr10
ENSMUSG00000097767	10543	5	chr5
ENSMUSG00000097768	2708	3	chr16
ENSMUSG00000097772	8812	3	chr5
ENSMUSG00000097773	2569	2	chr8
ENSMUSG00000097776	6349	10	chr8
ENSMUSG00000097777	5467	5	chr9
ENSMUSG00000097779	3617	7	chr19
ENSMUSG00000097780	487	1	chr14
ENSMUSG00000097781	3550	7	chr17
ENSMUSG00000097783	2930	6	chr8
ENSMUSG00000097784	1923	2	chr1
ENSMUSG00000097785	6872	11	chr19
ENSMUSG00000097786	1055	1	chr3
ENSMUSG00000097787	3434	5	chr19
ENSMUSG00000097788	1578	5	chr12
ENSMUSG00000097789	7340	4	chr7
ENSMUSG00000097790	219	1	chr3
ENSMUSG00000097792	2551	6	chr19
ENSMUSG00000097793	5060	1	chr13
ENSMUSG00000097794	4030	8	chr14
ENSMUSG00000097795	943	1	chr10
ENSMUSG00000097797	6616	12	chr1
ENSMUSG00000097798	384	2	chr14
ENSMUSG00000097801	4318	6	chr12
ENSMUSG00000097803	376	1	chr17
ENSMUSG00000097804	5521	13	chr3
ENSMUSG00000097805	6117	10	chr15
ENSMUSG00000097806	3046	5	chr13
ENSMUSG00000097807	2453	5	chr3
ENSMUSG00000097809	845	2	chr7
ENSMUSG00000097812	2064	10	chr8
ENSMUSG00000097814	5924	7	chr1
ENSMUSG00000097816	6122	5	chr6
ENSMUSG00000097817	1496	4	chr7
ENSMUSG00000097819	3587	2	chr1
ENSMUSG00000097820	5307	1	chr9
ENSMUSG00000097821	931	1	chr9
ENSMUSG00000097822	3178	4	chr14
ENSMUSG00000097825	5517	2	chr5
ENSMUSG00000097827	3601	5	chr15
ENSMUSG00000097828	5975	3	chr13
ENSMUSG00000097831	2068	3	chr6
ENSMUSG00000097832	1846	2	chr12
ENSMUSG00000097833	996	1	chr1
ENSMUSG00000097834	2655	6	chr6
ENSMUSG00000097836	5967	7	chr9
ENSMUSG00000097840	2226	4	chr5
ENSMUSG00000097841	2056	5	chr12
ENSMUSG00000097842	3909	3	chr7
ENSMUSG00000097845	2587	2	chr1
ENSMUSG00000097847	721	3	chr12
ENSMUSG00000097848	3919	12	chr13
ENSMUSG00000097850	2325	3	chr1
ENSMUSG00000097851	2042	7	chr3
ENSMUSG00000097852	8349	25	chr3
ENSMUSG00000097853	584	5	chr14
ENSMUSG00000097855	11395	16	chr19
ENSMUSG00000097863	1789	4	chr5
ENSMUSG00000097870	3255	5	chr9
ENSMUSG00000097871	1145	4	chr4
ENSMUSG00000097874	2524	6	chr16
ENSMUSG00000097875	2901	1	chr15
ENSMUSG00000097876	2960	4	chr16
ENSMUSG00000097877	6003	6	chr5
ENSMUSG00000097878	1291	3	chr10
ENSMUSG00000097881	8357	15	chr1
ENSMUSG00000097882	4328	5	chr8
ENSMUSG00000097883	1011	1	chr1
ENSMUSG00000097884	2221	2	chr10
ENSMUSG00000097885	4153	5	chr3
ENSMUSG00000097886	1216	6	chr11
ENSMUSG00000097887	1627	4	chr11
ENSMUSG00000097888	5852	10	chr18
ENSMUSG00000097890	3414	4	chr10
ENSMUSG00000097891	747	5	chr18
ENSMUSG00000097892	3337	3	chr1
ENSMUSG00000097893	8062	21	chr1
ENSMUSG00000097895	489	2	chr8
ENSMUSG00000097896	649	3	chr16
ENSMUSG00000097897	379	1	chr17
ENSMUSG00000097898	3476	9	chr14
ENSMUSG00000097899	4219	9	chr1
ENSMUSG00000097900	964	1	chr6
ENSMUSG00000097901	4062	9	chr14
ENSMUSG00000097902	2741	4	chr12
ENSMUSG00000097903	1660	4	chr14
ENSMUSG00000097906	955	1	chr13
ENSMUSG00000097907	2547	2	chr18
ENSMUSG00000097908	7812	12	chr5
ENSMUSG00000097910	16902	18	chr8
ENSMUSG00000097911	11882	13	chr3
ENSMUSG00000097914	911	3	chr16
ENSMUSG00000097915	4286	8	chr15
ENSMUSG00000097917	6509	15	chr12
ENSMUSG00000097918	567	1	chr1
ENSMUSG00000097919	758	4	chr8
ENSMUSG00000097920	989	1	chr1
ENSMUSG00000097921	2182	5	chr10
ENSMUSG00000097923	2336	4	chr10
ENSMUSG00000097924	5738	8	chr6
ENSMUSG00000097925	2141	2	chr1
ENSMUSG00000097927	9030	20	chr14
ENSMUSG00000097929	7145	5	chr12
ENSMUSG00000097930	7696	23	chr19
ENSMUSG00000097931	710	4	chr13
ENSMUSG00000097932	1882	5	chr13
ENSMUSG00000097933	1579	3	chr14
ENSMUSG00000097934	2238	2	chr1
ENSMUSG00000097935	1006	1	chr1
ENSMUSG00000097936	1009	1	chr14
ENSMUSG00000097937	1007	1	chr19
ENSMUSG00000097938	827	2	chr15
ENSMUSG00000097939	909	1	chr10
ENSMUSG00000097940	972	1	chr6
ENSMUSG00000097941	1019	1	chr5
ENSMUSG00000097942	481	1	chr4
ENSMUSG00000097943	990	1	chr6
ENSMUSG00000097944	2739	2	chr8
ENSMUSG00000097945	667	1	chr16
ENSMUSG00000097946	994	1	chr9
ENSMUSG00000097947	964	1	chr5
ENSMUSG00000097948	998	1	chr14
ENSMUSG00000097949	973	1	chr8
ENSMUSG00000097950	971	1	chr19
ENSMUSG00000097951	1000	1	chr13
ENSMUSG00000097952	992	1	chr7
ENSMUSG00000097953	409	2	chrX
ENSMUSG00000097954	1002	1	chr15
ENSMUSG00000097955	498	2	chr7
ENSMUSG00000097957	983	1	chr6
ENSMUSG00000097958	987	1	chr17
ENSMUSG00000097959	1009	1	chr16
ENSMUSG00000097960	3360	4	chr8
ENSMUSG00000097961	842	1	chrX
ENSMUSG00000097962	2809	7	chr5
ENSMUSG00000097963	936	1	chr16
ENSMUSG00000097964	1020	1	chr6
ENSMUSG00000097965	1007	1	chr18
ENSMUSG00000097966	997	1	chr3
ENSMUSG00000097967	1068	2	chr9
ENSMUSG00000097968	756	1	chr3
ENSMUSG00000097970	399	1	chr1
ENSMUSG00000097972	508	3	chr7
ENSMUSG00000097973	992	1	chr12
ENSMUSG00000097974	4097	3	chr7
ENSMUSG00000097975	975	1	chr8
ENSMUSG00000097976	728	3	chr5
ENSMUSG00000097977	1008	1	chr12
ENSMUSG00000097979	1000	2	chr6
ENSMUSG00000097980	1810	7	chr18
ENSMUSG00000097981	1005	1	chr7
ENSMUSG00000097982	511	3	chr7
ENSMUSG00000097983	1072	1	chr8
ENSMUSG00000097984	958	1	chr8
ENSMUSG00000097985	1003	1	chr3
ENSMUSG00000097986	5926	14	chr5
ENSMUSG00000097987	427	1	chr8
ENSMUSG00000097988	1872	4	chr1
ENSMUSG00000097989	1004	1	chr15
ENSMUSG00000097990	2765	3	chr19
ENSMUSG00000097991	1004	1	chr7
ENSMUSG00000097992	2256	3	chr8
ENSMUSG00000097993	6987	36	chr1
ENSMUSG00000097994	1151	1	chr6
ENSMUSG00000097995	416	1	chr4
ENSMUSG00000097996	987	1	chr6
ENSMUSG00000097997	6581	10	chr14
ENSMUSG00000097998	404	1	chr6
ENSMUSG00000097999	1006	1	chr16
ENSMUSG00000098000	892	1	chr18
ENSMUSG00000098001	4627	2	chr8
ENSMUSG00000098002	1012	1	chr15
ENSMUSG00000098003	1000	2	chr13
ENSMUSG00000098004	547	3	chr2
ENSMUSG00000098005	968	1	chr13
ENSMUSG00000098006	1014	1	chr3
ENSMUSG00000098007	978	1	chr18
ENSMUSG00000098008	2806	13	chr3
ENSMUSG00000098009	1193	1	chr7
ENSMUSG00000098010	993	1	chr19
ENSMUSG00000098011	1006	1	chr13
ENSMUSG00000098012	1003	1	chr9
ENSMUSG00000098013	990	1	chr7
ENSMUSG00000098014	2303	1	chr7
ENSMUSG00000098015	1314	3	chr6
ENSMUSG00000098016	975	1	chr7
ENSMUSG00000098017	1003	1	chr7
ENSMUSG00000098019	991	1	chr7
ENSMUSG00000098021	926	1	chr15
ENSMUSG00000098022	9503	7	chr7
ENSMUSG00000098023	1001	2	chrX
ENSMUSG00000098024	882	2	chr2
ENSMUSG00000098025	1024	1	chr6
ENSMUSG00000098026	937	2	chr12
ENSMUSG00000098027	727	1	chr5
ENSMUSG00000098028	990	1	chr16
ENSMUSG00000098029	973	1	chr12
ENSMUSG00000098030	1001	1	chr17
ENSMUSG00000098031	986	1	chr7
ENSMUSG00000098033	1012	1	chr3
ENSMUSG00000098035	1000	1	chr7
ENSMUSG00000098036	1008	2	chr3
ENSMUSG00000098037	974	1	chr16
ENSMUSG00000098038	1303	1	chr10
ENSMUSG00000098039	957	1	chr5
ENSMUSG00000098040	4330	21	chr10
ENSMUSG00000098041	3169	2	chr7
ENSMUSG00000098042	995	1	chr3
ENSMUSG00000098043	395	1	chr16
ENSMUSG00000098044	991	1	chr7
ENSMUSG00000098046	972	1	chr8
ENSMUSG00000098047	1025	2	chr3
ENSMUSG00000098048	1008	1	chr10
ENSMUSG00000098050	1014	2	chr8
ENSMUSG00000098051	1877	3	chr2
ENSMUSG00000098052	1003	1	chr6
ENSMUSG00000098053	544	1	chr5
ENSMUSG00000098054	958	1	chr11
ENSMUSG00000098055	8159	20	chr10
ENSMUSG00000098056	988	1	chr8
ENSMUSG00000098057	1000	1	chr10
ENSMUSG00000098058	745	1	chr18
ENSMUSG00000098059	940	1	chr14
ENSMUSG00000098060	835	1	chr18
ENSMUSG00000098062	609	1	chr5
ENSMUSG00000098064	985	1	chr14
ENSMUSG00000098065	997	1	chr10
ENSMUSG00000098066	2716	8	chr7
ENSMUSG00000098067	957	1	chr13
ENSMUSG00000098068	614	1	chr10
ENSMUSG00000098069	797	1	chr19
ENSMUSG00000098070	998	1	chr16
ENSMUSG00000098071	2634	3	chr6
ENSMUSG00000098072	1306	5	chr5
ENSMUSG00000098073	996	1	chr5
ENSMUSG00000098074	789	1	chr19
ENSMUSG00000098075	2293	9	chr8
ENSMUSG00000098076	1008	1	chr9
ENSMUSG00000098077	1001	1	chr5
ENSMUSG00000098078	468	2	chrX
ENSMUSG00000098079	878	1	chr14
ENSMUSG00000098080	1007	1	chr7
ENSMUSG00000098081	732	1	chr13
ENSMUSG00000098082	917	8	chr17
ENSMUSG00000098083	1012	1	chr3
ENSMUSG00000098084	223	1	chr6
ENSMUSG00000098085	1014	1	chr3
ENSMUSG00000098086	1210	1	chr8
ENSMUSG00000098087	4038	13	chr13
ENSMUSG00000098088	352	2	chr14
ENSMUSG00000098089	748	1	chr16
ENSMUSG00000098090	1344	12	chr17
ENSMUSG00000098091	998	1	chr19
ENSMUSG00000098092	971	1	chr13
ENSMUSG00000098093	980	1	chr9
ENSMUSG00000098094	508	3	chr7
ENSMUSG00000098095	984	1	chr14
ENSMUSG00000098096	648	3	chr14
ENSMUSG00000098097	13690	31	chr3
ENSMUSG00000098098	5531	11	chr18
ENSMUSG00000098099	1011	1	chr12
ENSMUSG00000098100	766	1	chr16
ENSMUSG00000098101	943	1	chr8
ENSMUSG00000098102	1010	1	chr10
ENSMUSG00000098103	921	1	chr16
ENSMUSG00000098104	1470	1	chr1
ENSMUSG00000098105	998	1	chr19
ENSMUSG00000098106	1002	1	chr8
ENSMUSG00000098108	8347	27	chr3
ENSMUSG00000098109	827	1	chr8
ENSMUSG00000098110	986	1	chr13
ENSMUSG00000098111	982	1	chr14
ENSMUSG00000098112	3878	12	chr15
ENSMUSG00000098113	989	1	chr13
ENSMUSG00000098114	977	1	chr17
ENSMUSG00000098115	1163	1	chr6
ENSMUSG00000098116	990	1	chr8
ENSMUSG00000098118	412	2	chrX
ENSMUSG00000098119	978	1	chr18
ENSMUSG00000098120	1016	4	chr8
ENSMUSG00000098121	175	1	chr17
ENSMUSG00000098122	962	2	chr17
ENSMUSG00000098123	718	1	chr17
ENSMUSG00000098124	980	1	chr13
ENSMUSG00000098125	753	1	chr14
ENSMUSG00000098126	960	1	chr18
ENSMUSG00000098127	1924	9	chr9
ENSMUSG00000098128	4065	4	chr12
ENSMUSG00000098129	3753	8	chr7
ENSMUSG00000098130	997	1	chr6
ENSMUSG00000098131	749	3	chr5
ENSMUSG00000098132	3496	1	chr7
ENSMUSG00000098134	1383	1	chr12
ENSMUSG00000098135	987	1	chr7
ENSMUSG00000098136	1003	1	chr13
ENSMUSG00000098137	2592	3	chr6
ENSMUSG00000098138	991	1	chr10
ENSMUSG00000098139	945	1	chr10
ENSMUSG00000098140	744	4	chr5
ENSMUSG00000098141	1006	1	chr18
ENSMUSG00000098142	1008	1	chr6
ENSMUSG00000098143	1008	1	chr16
ENSMUSG00000098144	3229	13	chr13
ENSMUSG00000098145	2618	14	chr1
ENSMUSG00000098147	1035	1	chr9
ENSMUSG00000098149	1002	1	chr8
ENSMUSG00000098150	3530	18	chr15
ENSMUSG00000098152	942	3	chr13
ENSMUSG00000098153	755	1	chr3
ENSMUSG00000098154	1038	1	chr8
ENSMUSG00000098155	715	2	chr4
ENSMUSG00000098156	285	1	chr17
ENSMUSG00000098157	992	1	chr14
ENSMUSG00000098158	999	1	chr12
ENSMUSG00000098159	1005	2	chr12
ENSMUSG00000098161	5823	10	chr9
ENSMUSG00000098162	908	1	chr10
ENSMUSG00000098163	687	1	chr1
ENSMUSG00000098164	2093	5	chr17
ENSMUSG00000098165	996	1	chr18
ENSMUSG00000098166	304	2	chr8
ENSMUSG00000098167	792	1	chr12
ENSMUSG00000098169	1003	1	chr14
ENSMUSG00000098170	207	1	chr16
ENSMUSG00000098171	1003	1	chr9
ENSMUSG00000098172	4600	15	chr12
ENSMUSG00000098173	996	1	chr10
ENSMUSG00000098174	980	1	chr7
ENSMUSG00000098175	1008	1	chr6
ENSMUSG00000098176	2584	1	chr15
ENSMUSG00000098177	984	1	chr15
ENSMUSG00000098179	1012	1	chr10
ENSMUSG00000098180	915	1	chr17
ENSMUSG00000098181	381	1	chr8
ENSMUSG00000098183	863	2	chr14
ENSMUSG00000098184	972	1	chr8
ENSMUSG00000098185	1006	1	chr7
ENSMUSG00000098186	984	1	chr3
ENSMUSG00000098187	981	1	chr6
ENSMUSG00000098188	5195	3	chr10
ENSMUSG00000098189	965	1	chr3
ENSMUSG00000098190	1010	2	chr15
ENSMUSG00000098192	1001	1	chr14
ENSMUSG00000098193	941	1	chr17
ENSMUSG00000098194	1007	1	chr9
ENSMUSG00000098195	988	1	chr7
ENSMUSG00000098196	1884	8	chr11
ENSMUSG00000098197	2880	7	chr17
ENSMUSG00000098198	536	1	chr3
ENSMUSG00000098199	927	1	chr7
ENSMUSG00000098200	1006	1	chr12
ENSMUSG00000098201	388	1	chr1
ENSMUSG00000098202	11679	18	chr12
ENSMUSG00000098203	1008	2	chr15
ENSMUSG00000098204	3510	1	chr3
ENSMUSG00000098205	1007	1	chr7
ENSMUSG00000098206	22019	22	chr1
ENSMUSG00000098207	1200	1	chr3
ENSMUSG00000098208	1003	1	chr3
ENSMUSG00000098209	987	1	chr13
ENSMUSG00000098210	350	2	chr17
ENSMUSG00000098211	1428	1	chr8
ENSMUSG00000098212	2617	3	chr6
ENSMUSG00000098213	796	1	chr13
ENSMUSG00000098214	1819	1	chr6
ENSMUSG00000098215	1008	1	chr8
ENSMUSG00000098216	971	1	chr10
ENSMUSG00000098217	463	1	chr4
ENSMUSG00000098218	958	1	chr13
ENSMUSG00000098219	995	1	chr12
ENSMUSG00000098221	971	4	chr8
ENSMUSG00000098222	872	1	chr15
ENSMUSG00000098223	912	1	chr8
ENSMUSG00000098224	981	1	chr12
ENSMUSG00000098225	940	1	chr16
ENSMUSG00000098226	982	1	chr3
ENSMUSG00000098227	993	1	chr13
ENSMUSG00000098228	985	1	chr9
ENSMUSG00000098229	975	1	chr12
ENSMUSG00000098230	3059	6	chr5
ENSMUSG00000098231	966	1	chr8
ENSMUSG00000098232	1007	1	chr9
ENSMUSG00000098233	1258	5	chr5
ENSMUSG00000098234	5747	6	chr1
ENSMUSG00000098235	993	1	chr18
ENSMUSG00000098236	1011	1	chr14
ENSMUSG00000098237	982	1	chr15
ENSMUSG00000098238	929	1	chr13
ENSMUSG00000098240	1002	1	chr6
ENSMUSG00000098241	697	4	chr17
ENSMUSG00000098242	753	1	chr13
ENSMUSG00000098244	572	2	chr18
ENSMUSG00000098245	965	1	chr13
ENSMUSG00000098246	999	1	chr7
ENSMUSG00000098247	60	1	chr18
ENSMUSG00000098248	427	2	chr14
ENSMUSG00000098251	62	1	chr9
ENSMUSG00000098252	101	1	chr18
ENSMUSG00000098253	54	1	chr18
ENSMUSG00000098255	6516	14	chr14
ENSMUSG00000098257	893	6	chr8
ENSMUSG00000098258	106	1	chr13
ENSMUSG00000098259	63	1	chr1
ENSMUSG00000098261	64	1	chr4
ENSMUSG00000098263	63	1	chr12
ENSMUSG00000098264	82	1	chr5
ENSMUSG00000098267	137	1	chr7
ENSMUSG00000098269	117	1	chr17
ENSMUSG00000098270	961	2	chr14
ENSMUSG00000098272	307	1	chr9
ENSMUSG00000098273	81	1	chr1
ENSMUSG00000098274	1178	6	chr16
ENSMUSG00000098275	817	1	chr9
ENSMUSG00000098276	101	1	chr18
ENSMUSG00000098278	345	1	chr7
ENSMUSG00000098279	63	1	chr10
ENSMUSG00000098280	59	1	chr8
ENSMUSG00000098282	54	1	chr11
ENSMUSG00000098284	3516	11	chr18
ENSMUSG00000098285	69	1	chr6
ENSMUSG00000098286	139	1	chr19
ENSMUSG00000098287	106	1	chr18
ENSMUSG00000098288	60	1	chr1
ENSMUSG00000098289	57	1	chr19
ENSMUSG00000098290	700	1	chr7
ENSMUSG00000098291	78	1	chr17
ENSMUSG00000098293	70	1	chr19
ENSMUSG00000098294	1349	5	chr9
ENSMUSG00000098295	11945	18	chr8
ENSMUSG00000098296	58	1	chr11
ENSMUSG00000098297	59	1	chr18
ENSMUSG00000098299	60	1	chr2
ENSMUSG00000098300	108	1	chr16
ENSMUSG00000098302	254	3	chr5
ENSMUSG00000098304	1048	6	chr9
ENSMUSG00000098306	1465	7	chr1
ENSMUSG00000098309	256	1	chr7
ENSMUSG00000098310	129	1	chr4
ENSMUSG00000098311	448	2	chrX
ENSMUSG00000098313	478	1	chr9
ENSMUSG00000098315	108	1	chr3
ENSMUSG00000098316	61	1	chr1
ENSMUSG00000098317	68	1	chr11
ENSMUSG00000098318	8401	11	chr6
ENSMUSG00000098319	71	1	chr5
ENSMUSG00000098322	1192	3	chr8
ENSMUSG00000098325	58	1	chr7
ENSMUSG00000098327	70	1	chr9
ENSMUSG00000098329	72	1	chr17
ENSMUSG00000098330	249	1	chr7
ENSMUSG00000098331	62	1	chr8
ENSMUSG00000098332	3510	3	chr9
ENSMUSG00000098333	238	1	chr9
ENSMUSG00000098334	70	1	chr6
ENSMUSG00000098335	754	1	chr9
ENSMUSG00000098336	75	1	chr12
ENSMUSG00000098338	59	1	chr12
ENSMUSG00000098339	64	1	chr17
ENSMUSG00000098340	367	2	chr9
ENSMUSG00000098341	96	1	chr13
ENSMUSG00000098343	117	1	chr5
ENSMUSG00000098344	136	1	chr1
ENSMUSG00000098346	58	1	chr19
ENSMUSG00000098347	117	1	chr2
ENSMUSG00000098348	510	1	chrX
ENSMUSG00000098353	58	1	chr7
ENSMUSG00000098354	2161	1	chr7
ENSMUSG00000098358	912	4	chr9
ENSMUSG00000098360	894	2	chr8
ENSMUSG00000098361	65	1	chr9
ENSMUSG00000098362	82	1	chr9
ENSMUSG00000098363	65	1	chr19
ENSMUSG00000098366	75	1	chr18
ENSMUSG00000098370	2868	2	chr9
ENSMUSG00000098371	611	6	chr16
ENSMUSG00000098374	6521	28	chr17
ENSMUSG00000098376	71	1	chr10
ENSMUSG00000098379	101	1	chr1
ENSMUSG00000098380	75	1	chr12
ENSMUSG00000098381	54	1	chr3
ENSMUSG00000098382	258	1	chr7
ENSMUSG00000098386	385	1	chr7
ENSMUSG00000098387	1015	2	chr2
ENSMUSG00000098388	117	1	chr8
ENSMUSG00000098389	64	1	chr18
ENSMUSG00000098390	573	4	chr9
ENSMUSG00000098391	1570	3	chr8
ENSMUSG00000098397	58	1	chr3
ENSMUSG00000098400	54	1	chr16
ENSMUSG00000098401	114	1	chr3
ENSMUSG00000098404	940	1	chr7
ENSMUSG00000098405	381	1	chrX
ENSMUSG00000098406	75	1	chr2
ENSMUSG00000098407	120	1	chr1
ENSMUSG00000098408	91	1	chr9
ENSMUSG00000098410	123	1	chr8
ENSMUSG00000098412	616	1	chr9
ENSMUSG00000098413	91	1	chr19
ENSMUSG00000098414	62	1	chr10
ENSMUSG00000098415	70	1	chr11
ENSMUSG00000098416	65	1	chr15
ENSMUSG00000098417	115	1	chr3
ENSMUSG00000098419	71	1	chr15
ENSMUSG00000098420	328	1	chr9
ENSMUSG00000098421	542	2	chr6
ENSMUSG00000098422	72	1	chr4
ENSMUSG00000098424	512	2	chr4
ENSMUSG00000098426	1266	1	chr7
ENSMUSG00000098429	1224	6	chr9
ENSMUSG00000098431	55	1	chr8
ENSMUSG00000098433	104	1	chr14
ENSMUSG00000098434	879	1	chr8
ENSMUSG00000098437	97	1	chr2
ENSMUSG00000098438	340	1	chr17
ENSMUSG00000098439	2398	1	chr8
ENSMUSG00000098441	110	1	chr7
ENSMUSG00000098442	75	1	chr15
ENSMUSG00000098443	72	1	chr1
ENSMUSG00000098444	64	1	chr3
ENSMUSG00000098445	64	1	chr17
ENSMUSG00000098446	79	1	chr9
ENSMUSG00000098447	666	4	chr1
ENSMUSG00000098448	107	1	chr16
ENSMUSG00000098449	652	1	chr5
ENSMUSG00000098451	61	1	chr15
ENSMUSG00000098453	71	1	chr2
ENSMUSG00000098454	79	1	chr5
ENSMUSG00000098456	980	1	chr11
ENSMUSG00000098457	119	1	chr15
ENSMUSG00000098458	63	1	chr17
ENSMUSG00000098464	55	1	chr2
ENSMUSG00000098465	107	1	chr8
ENSMUSG00000098468	307	1	chr9
ENSMUSG00000098469	385	1	chr7
ENSMUSG00000098470	2429	11	chr6
ENSMUSG00000098471	307	1	chr9
ENSMUSG00000098473	60	1	chr9
ENSMUSG00000098474	62	1	chr11
ENSMUSG00000098475	68	1	chr18
ENSMUSG00000098480	108	1	chr12
ENSMUSG00000098482	114	1	chr16
ENSMUSG00000098483	64	1	chr8
